ID:,DF692435CB1C3125,,,,
Temperature Unit of Measure is Celsius,,,,,
Date format is MM/DD/YYYY,,,,,
Start Time and Date,,10:00,1/20/2021,,
Stop Time and Date,,16:45,2/3/2021,,
,,,,,
Minimum Temperature,,,,,
P1,2.31,13:57,1/27/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Maximum Temperature,,,,,
P1,6.1,14:08,1/29/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Alarm Event Data,,,,,
Probe,Temp,Time Out,Date Out,Time In,Date In
,,,,,
Temperature Data,,,,,
P1,P2,Time,Date,,
5.54, --.--,20:00,1/28/2021,,
4.88, --.--,19:45,1/28/2021,,
4.07, --.--,19:30,1/28/2021,,
3.17, --.--,19:15,1/28/2021,,
2.58, --.--,19:00,1/28/2021,,
2.61, --.--,18:45,1/28/2021,,
3.08, --.--,18:30,1/28/2021,,
3.73, --.--,18:15,1/28/2021,,
4.44, --.--,18:00,1/28/2021,,
5.11, --.--,17:45,1/28/2021,,
5.75, --.--,17:30,1/28/2021,,
5.56, --.--,17:15,1/28/2021,,
4.31, --.--,17:00,1/28/2021,,
2.89, --.--,16:45,1/28/2021,,
2.53, --.--,16:30,1/28/2021,,
2.99, --.--,16:15,1/28/2021,,
3.7, --.--,16:00,1/28/2021,,
4.41, --.--,15:45,1/28/2021,,
5.11, --.--,15:30,1/28/2021,,
5.77, --.--,15:15,1/28/2021,,
5.52, --.--,15:00,1/28/2021,,
4.27, --.--,14:45,1/28/2021,,
2.9, --.--,14:30,1/28/2021,,
2.56, --.--,14:15,1/28/2021,,
3.13, --.--,14:00,1/28/2021,,
3.84, --.--,13:45,1/28/2021,,
4.54, --.--,13:30,1/28/2021,,
5.24, --.--,13:15,1/28/2021,,
5.84, --.--,13:00,1/28/2021,,
5.33, --.--,12:45,1/28/2021,,
4.02, --.--,12:30,1/28/2021,,
2.72, --.--,12:15,1/28/2021,,
2.6, --.--,12:00,1/28/2021,,
3.17, --.--,11:45,1/28/2021,,
3.88, --.--,11:30,1/28/2021,,
4.6, --.--,11:15,1/28/2021,,
5.3, --.--,11:00,1/28/2021,,
5.86, --.--,10:45,1/28/2021,,
5.21, --.--,10:30,1/28/2021,,
3.84, --.--,10:15,1/28/2021,,
2.67, --.--,10:00,1/28/2021,,
2.61, --.--,9:45,1/28/2021,,
3.11, --.--,9:30,1/28/2021,,
3.77, --.--,9:15,1/28/2021,,
4.48, --.--,9:00,1/28/2021,,
5.13, --.--,8:45,1/28/2021,,
5.71, --.--,8:30,1/28/2021,,
5.6, --.--,8:15,1/28/2021,,
4.63, --.--,8:00,1/28/2021,,
3.48, --.--,7:45,1/28/2021,,
2.61, --.--,7:30,1/28/2021,,
2.58, --.--,7:15,1/28/2021,,
3.01, --.--,7:00,1/28/2021,,
3.47, --.--,6:45,1/28/2021,,
3.99, --.--,6:30,1/28/2021,,
4.43, --.--,6:15,1/28/2021,,
4.88, --.--,6:00,1/28/2021,,
5.29, --.--,5:45,1/28/2021,,
5.66, --.--,5:30,1/28/2021,,
5.72, --.--,5:15,1/28/2021,,
5.35, --.--,5:00,1/28/2021,,
4.8, --.--,4:45,1/28/2021,,
4.13, --.--,4:30,1/28/2021,,
3.45, --.--,4:15,1/28/2021,,
2.79, --.--,4:00,1/28/2021,,
2.51, --.--,3:45,1/28/2021,,
2.61, --.--,3:30,1/28/2021,,
2.9, --.--,3:15,1/28/2021,,
3.29, --.--,3:00,1/28/2021,,
3.71, --.--,2:45,1/28/2021,,
4.16, --.--,2:30,1/28/2021,,
4.61, --.--,2:15,1/28/2021,,
5.07, --.--,2:00,1/28/2021,,
5.5, --.--,1:45,1/28/2021,,
5.76, --.--,1:30,1/28/2021,,
5.48, --.--,1:15,1/28/2021,,
4.84, --.--,1:00,1/28/2021,,
4.09, --.--,0:45,1/28/2021,,
3.27, --.--,0:30,1/28/2021,,
2.63, --.--,0:15,1/28/2021,,
2.52, --.--,0:00,1/28/2021,,
2.78, --.--,23:45,1/27/2021,,
3.22, --.--,23:30,1/27/2021,,
3.71, --.--,23:15,1/27/2021,,
4.22, --.--,23:00,1/27/2021,,
4.74, --.--,22:45,1/27/2021,,
5.26, --.--,22:30,1/27/2021,,
5.71, --.--,22:15,1/27/2021,,
5.62, --.--,22:00,1/27/2021,,
4.92, --.--,21:45,1/27/2021,,
4.03, --.--,21:30,1/27/2021,,
3.02, --.--,21:15,1/27/2021,,
2.51, --.--,21:00,1/27/2021,,
2.72, --.--,20:45,1/27/2021,,
3.24, --.--,20:30,1/27/2021,,
3.85, --.--,20:15,1/27/2021,,
4.47, --.--,20:00,1/27/2021,,
5.08, --.--,19:45,1/27/2021,,
5.68, --.--,19:30,1/27/2021,,
5.56, --.--,19:15,1/27/2021,,
4.41, --.--,19:00,1/27/2021,,
2.95, --.--,18:45,1/27/2021,,
2.56, --.--,18:30,1/27/2021,,
3.26, --.--,18:15,1/27/2021,,
4.19, --.--,18:00,1/27/2021,,
5.09, --.--,17:45,1/27/2021,,
5.86, --.--,17:30,1/27/2021,,
4.86, --.--,17:15,1/27/2021,,
2.91, --.--,17:00,1/27/2021,,
2.68, --.--,16:45,1/27/2021,,
3.55, --.--,16:30,1/27/2021,,
4.55, --.--,16:15,1/27/2021,,
5.41, --.--,16:00,1/27/2021,,
5.7, --.--,15:45,1/27/2021,,
4.14, --.--,15:30,1/27/2021,,
2.53, --.--,15:15,1/27/2021,,
2.91, --.--,15:00,1/27/2021,,
3.83, --.--,14:45,1/27/2021,,
4.77, --.--,14:30,1/27/2021,,
5.82, --.--,14:15,1/27/2021,,
3.01, --.--,14:00,1/27/2021,,
4.34, --.--,13:45,1/27/2021,,
5.19, --.--,13:30,1/27/2021,,
5.83, --.--,13:15,1/27/2021,,
4.72, --.--,13:00,1/27/2021,,
2.96, --.--,12:45,1/27/2021,,
2.54, --.--,12:30,1/27/2021,,
3.25, --.--,12:15,1/27/2021,,
4.12, --.--,12:00,1/27/2021,,
4.96, --.--,11:45,1/27/2021,,
5.73, --.--,11:30,1/27/2021,,
5.26, --.--,11:15,1/27/2021,,
3.6, --.--,11:00,1/27/2021,,
2.45, --.--,10:45,1/27/2021,,
2.91, --.--,10:30,1/27/2021,,
3.76, --.--,10:15,1/27/2021,,
4.63, --.--,10:00,1/27/2021,,
5.41, --.--,9:45,1/27/2021,,
5.72, --.--,9:30,1/27/2021,,
4.45, --.--,9:15,1/27/2021,,
2.86, --.--,9:00,1/27/2021,,
2.52, --.--,8:45,1/27/2021,,
3.11, --.--,8:30,1/27/2021,,
3.89, --.--,8:15,1/27/2021,,
4.66, --.--,8:00,1/27/2021,,
5.36, --.--,7:45,1/27/2021,,
5.75, --.--,7:30,1/27/2021,,
4.95, --.--,7:15,1/27/2021,,
3.71, --.--,7:00,1/27/2021,,
2.64, --.--,6:45,1/27/2021,,
2.47, --.--,6:30,1/27/2021,,
2.82, --.--,6:15,1/27/2021,,
3.3, --.--,6:00,1/27/2021,,
3.84, --.--,5:45,1/27/2021,,
4.38, --.--,5:30,1/27/2021,,
4.9, --.--,5:15,1/27/2021,,
5.38, --.--,5:00,1/27/2021,,
5.71, --.--,4:45,1/27/2021,,
5.4, --.--,4:30,1/27/2021,,
4.65, --.--,4:15,1/27/2021,,
3.75, --.--,4:00,1/27/2021,,
2.87, --.--,3:45,1/27/2021,,
2.43, --.--,3:30,1/27/2021,,
2.59, --.--,3:15,1/27/2021,,
3.01, --.--,3:00,1/27/2021,,
3.51, --.--,2:45,1/27/2021,,
4.02, --.--,2:30,1/27/2021,,
4.54, --.--,2:15,1/27/2021,,
5.05, --.--,2:00,1/27/2021,,
5.54, --.--,1:45,1/27/2021,,
5.69, --.--,1:30,1/27/2021,,
5.18, --.--,1:15,1/27/2021,,
4.38, --.--,1:00,1/27/2021,,
3.51, --.--,0:45,1/27/2021,,
2.68, --.--,0:30,1/27/2021,,
2.43, --.--,0:15,1/27/2021,,
2.67, --.--,0:00,1/27/2021,,
3.12, --.--,23:45,1/26/2021,,
3.61, --.--,23:30,1/26/2021,,
4.14, --.--,23:15,1/26/2021,,
4.65, --.--,23:00,1/26/2021,,
5.18, --.--,22:45,1/26/2021,,
5.64, --.--,22:30,1/26/2021,,
5.64, --.--,22:15,1/26/2021,,
5.04, --.--,22:00,1/26/2021,,
4.15, --.--,21:45,1/26/2021,,
3.18, --.--,21:30,1/26/2021,,
2.52, --.--,21:15,1/26/2021,,
2.53, --.--,21:00,1/26/2021,,
2.91, --.--,20:45,1/26/2021,,
3.45, --.--,20:30,1/26/2021,,
4.04, --.--,20:15,1/26/2021,,
4.63, --.--,20:00,1/26/2021,,
5.22, --.--,19:45,1/26/2021,,
5.74, --.--,19:30,1/26/2021,,
5.5, --.--,19:15,1/26/2021,,
4.5, --.--,19:00,1/26/2021,,
3.24, --.--,18:45,1/26/2021,,
2.48, --.--,18:30,1/26/2021,,
2.77, --.--,18:15,1/26/2021,,
3.52, --.--,18:00,1/26/2021,,
4.37, --.--,17:45,1/26/2021,,
5.16, --.--,17:30,1/26/2021,,
5.83, --.--,17:15,1/26/2021,,
5.13, --.--,17:00,1/26/2021,,
3.5, --.--,16:45,1/26/2021,,
2.49, --.--,16:30,1/26/2021,,
2.84, --.--,16:15,1/26/2021,,
3.56, --.--,16:00,1/26/2021,,
4.37, --.--,15:45,1/26/2021,,
5.14, --.--,15:30,1/26/2021,,
5.82, --.--,15:15,1/26/2021,,
5.2, --.--,15:00,1/26/2021,,
3.72, --.--,14:45,1/26/2021,,
2.53, --.--,14:30,1/26/2021,,
2.66, --.--,14:15,1/26/2021,,
3.31, --.--,14:00,1/26/2021,,
4.08, --.--,13:45,1/26/2021,,
4.81, --.--,13:30,1/26/2021,,
5.5, --.--,13:15,1/26/2021,,
5.78, --.--,13:00,1/26/2021,,
4.7, --.--,12:45,1/26/2021,,
3.29, --.--,12:30,1/26/2021,,
2.47, --.--,12:15,1/26/2021,,
2.78, --.--,12:00,1/26/2021,,
3.45, --.--,11:45,1/26/2021,,
4.18, --.--,11:30,1/26/2021,,
4.88, --.--,11:15,1/26/2021,,
5.52, --.--,11:00,1/26/2021,,
5.75, --.--,10:45,1/26/2021,,
4.88, --.--,10:30,1/26/2021,,
3.61, --.--,10:15,1/26/2021,,
2.59, --.--,10:00,1/26/2021,,
2.56, --.--,9:45,1/26/2021,,
3.04, --.--,9:30,1/26/2021,,
3.69, --.--,9:15,1/26/2021,,
4.33, --.--,9:00,1/26/2021,,
4.97, --.--,8:45,1/26/2021,,
5.52, --.--,8:30,1/26/2021,,
5.79, --.--,8:15,1/26/2021,,
5.09, --.--,8:00,1/26/2021,,
4.02, --.--,7:45,1/26/2021,,
2.97, --.--,7:30,1/26/2021,,
2.44, --.--,7:15,1/26/2021,,
2.58, --.--,7:00,1/26/2021,,
2.96, --.--,6:45,1/26/2021,,
3.4, --.--,6:30,1/26/2021,,
3.79, --.--,6:15,1/26/2021,,
4.17, --.--,6:00,1/26/2021,,
4.48, --.--,5:45,1/26/2021,,
4.79, --.--,5:30,1/26/2021,,
5.13, --.--,5:15,1/26/2021,,
5.46, --.--,5:00,1/26/2021,,
5.69, --.--,4:45,1/26/2021,,
5.68, --.--,4:30,1/26/2021,,
5.35, --.--,4:15,1/26/2021,,
4.85, --.--,4:00,1/26/2021,,
4.35, --.--,3:45,1/26/2021,,
3.86, --.--,3:30,1/26/2021,,
3.29, --.--,3:15,1/26/2021,,
2.75, --.--,3:00,1/26/2021,,
2.46, --.--,2:45,1/26/2021,,
2.46, --.--,2:30,1/26/2021,,
2.65, --.--,2:15,1/26/2021,,
2.91, --.--,2:00,1/26/2021,,
3.23, --.--,1:45,1/26/2021,,
3.6, --.--,1:30,1/26/2021,,
3.95, --.--,1:15,1/26/2021,,
4.29, --.--,1:00,1/26/2021,,
4.65, --.--,0:45,1/26/2021,,
5, --.--,0:30,1/26/2021,,
5.36, --.--,0:15,1/26/2021,,
5.66, --.--,0:00,1/26/2021,,
5.7, --.--,23:45,1/25/2021,,
5.39, --.--,23:30,1/25/2021,,
4.86, --.--,23:15,1/25/2021,,
4.18, --.--,23:00,1/25/2021,,
3.47, --.--,22:45,1/25/2021,,
2.83, --.--,22:30,1/25/2021,,
2.49, --.--,22:15,1/25/2021,,
2.47, --.--,22:00,1/25/2021,,
2.7, --.--,21:45,1/25/2021,,
3.06, --.--,21:30,1/25/2021,,
3.45, --.--,21:15,1/25/2021,,
3.91, --.--,21:00,1/25/2021,,
4.35, --.--,20:45,1/25/2021,,
4.79, --.--,20:30,1/25/2021,,
5.23, --.--,20:15,1/25/2021,,
5.63, --.--,20:00,1/25/2021,,
5.75, --.--,19:45,1/25/2021,,
5.27, --.--,19:30,1/25/2021,,
4.42, --.--,19:15,1/25/2021,,
3.41, --.--,19:00,1/25/2021,,
2.56, --.--,18:45,1/25/2021,,
2.58, --.--,18:30,1/25/2021,,
3.09, --.--,18:15,1/25/2021,,
3.81, --.--,18:00,1/25/2021,,
4.54, --.--,17:45,1/25/2021,,
5.24, --.--,17:30,1/25/2021,,
5.85, --.--,17:15,1/25/2021,,
5.16, --.--,17:00,1/25/2021,,
3.72, --.--,16:45,1/25/2021,,
2.54, --.--,16:30,1/25/2021,,
2.61, --.--,16:15,1/25/2021,,
3.25, --.--,16:00,1/25/2021,,
4.03, --.--,15:45,1/25/2021,,
4.74, --.--,15:30,1/25/2021,,
5.44, --.--,15:15,1/25/2021,,
5.82, --.--,15:00,1/25/2021,,
4.88, --.--,14:45,1/25/2021,,
3.42, --.--,14:30,1/25/2021,,
2.48, --.--,14:15,1/25/2021,,
2.71, --.--,14:00,1/25/2021,,
3.38, --.--,13:45,1/25/2021,,
4.12, --.--,13:30,1/25/2021,,
4.82, --.--,13:15,1/25/2021,,
5.5, --.--,13:00,1/25/2021,,
5.8, --.--,12:45,1/25/2021,,
4.84, --.--,12:30,1/25/2021,,
3.41, --.--,12:15,1/25/2021,,
2.47, --.--,12:00,1/25/2021,,
2.69, --.--,11:45,1/25/2021,,
3.33, --.--,11:30,1/25/2021,,
4.01, --.--,11:15,1/25/2021,,
4.68, --.--,11:00,1/25/2021,,
5.29, --.--,10:45,1/25/2021,,
5.84, --.--,10:30,1/25/2021,,
5.29, --.--,10:15,1/25/2021,,
4.08, --.--,10:00,1/25/2021,,
2.79, --.--,9:45,1/25/2021,,
2.48, --.--,9:30,1/25/2021,,
2.9, --.--,9:15,1/25/2021,,
3.5, --.--,9:00,1/25/2021,,
4.17, --.--,8:45,1/25/2021,,
4.8, --.--,8:30,1/25/2021,,
5.36, --.--,8:15,1/25/2021,,
5.82, --.--,8:00,1/25/2021,,
5.39, --.--,7:45,1/25/2021,,
4.45, --.--,7:30,1/25/2021,,
3.32, --.--,7:15,1/25/2021,,
2.53, --.--,7:00,1/25/2021,,
2.53, --.--,6:45,1/25/2021,,
2.84, --.--,6:30,1/25/2021,,
3.31, --.--,6:15,1/25/2021,,
3.74, --.--,6:00,1/25/2021,,
4.15, --.--,5:45,1/25/2021,,
4.55, --.--,5:30,1/25/2021,,
4.97, --.--,5:15,1/25/2021,,
5.36, --.--,5:00,1/25/2021,,
5.7, --.--,4:45,1/25/2021,,
5.69, --.--,4:30,1/25/2021,,
5.31, --.--,4:15,1/25/2021,,
4.71, --.--,4:00,1/25/2021,,
4.1, --.--,3:45,1/25/2021,,
3.37, --.--,3:30,1/25/2021,,
2.79, --.--,3:15,1/25/2021,,
2.45, --.--,3:00,1/25/2021,,
2.5, --.--,2:45,1/25/2021,,
2.74, --.--,2:30,1/25/2021,,
3.09, --.--,2:15,1/25/2021,,
3.43, --.--,2:00,1/25/2021,,
3.81, --.--,1:45,1/25/2021,,
4.18, --.--,1:30,1/25/2021,,
4.57, --.--,1:15,1/25/2021,,
4.93, --.--,1:00,1/25/2021,,
5.31, --.--,0:45,1/25/2021,,
5.66, --.--,0:30,1/25/2021,,
5.73, --.--,0:15,1/25/2021,,
5.47, --.--,0:00,1/25/2021,,
4.96, --.--,23:45,1/24/2021,,
4.37, --.--,23:30,1/24/2021,,
3.74, --.--,23:15,1/24/2021,,
3.06, --.--,23:00,1/24/2021,,
2.58, --.--,22:45,1/24/2021,,
2.45, --.--,22:30,1/24/2021,,
2.59, --.--,22:15,1/24/2021,,
2.86, --.--,22:00,1/24/2021,,
3.2, --.--,21:45,1/24/2021,,
3.56, --.--,21:30,1/24/2021,,
3.95, --.--,21:15,1/24/2021,,
4.34, --.--,21:00,1/24/2021,,
4.71, --.--,20:45,1/24/2021,,
5.06, --.--,20:30,1/24/2021,,
5.41, --.--,20:15,1/24/2021,,
5.71, --.--,20:00,1/24/2021,,
5.69, --.--,19:45,1/24/2021,,
5.33, --.--,19:30,1/24/2021,,
4.82, --.--,19:15,1/24/2021,,
4.28, --.--,19:00,1/24/2021,,
3.71, --.--,18:45,1/24/2021,,
3.06, --.--,18:30,1/24/2021,,
2.63, --.--,18:15,1/24/2021,,
2.46, --.--,18:00,1/24/2021,,
2.53, --.--,17:45,1/24/2021,,
2.81, --.--,17:30,1/24/2021,,
3.13, --.--,17:15,1/24/2021,,
3.53, --.--,17:00,1/24/2021,,
3.92, --.--,16:45,1/24/2021,,
4.34, --.--,16:30,1/24/2021,,
4.71, --.--,16:15,1/24/2021,,
5.08, --.--,16:00,1/24/2021,,
5.46, --.--,15:45,1/24/2021,,
5.72, --.--,15:30,1/24/2021,,
5.66, --.--,15:15,1/24/2021,,
5.22, --.--,15:00,1/24/2021,,
4.66, --.--,14:45,1/24/2021,,
4.1, --.--,14:30,1/24/2021,,
5.68, --.--,14:15,1/24/2021,,
5.71, --.--,14:00,1/24/2021,,
5.35, --.--,13:45,1/24/2021,,
4.78, --.--,13:30,1/24/2021,,
4.12, --.--,13:15,1/24/2021,,
3.42, --.--,13:00,1/24/2021,,
2.77, --.--,12:45,1/24/2021,,
2.49, --.--,12:30,1/24/2021,,
2.52, --.--,12:15,1/24/2021,,
2.8, --.--,12:00,1/24/2021,,
3.18, --.--,11:45,1/24/2021,,
3.65, --.--,11:30,1/24/2021,,
4.06, --.--,11:15,1/24/2021,,
4.52, --.--,11:00,1/24/2021,,
4.96, --.--,10:45,1/24/2021,,
5.4, --.--,10:30,1/24/2021,,
5.77, --.--,10:15,1/24/2021,,
5.59, --.--,10:00,1/24/2021,,
4.94, --.--,9:45,1/24/2021,,
4.12, --.--,9:30,1/24/2021,,
3.23, --.--,9:15,1/24/2021,,
2.58, --.--,9:00,1/24/2021,,
2.46, --.--,8:45,1/24/2021,,
2.77, --.--,8:30,1/24/2021,,
3.16, --.--,8:15,1/24/2021,,
3.65, --.--,8:00,1/24/2021,,
4.18, --.--,7:45,1/24/2021,,
4.69, --.--,7:30,1/24/2021,,
5.18, --.--,7:15,1/24/2021,,
5.65, --.--,7:00,1/24/2021,,
5.73, --.--,6:45,1/24/2021,,
5.1, --.--,6:30,1/24/2021,,
4.28, --.--,6:15,1/24/2021,,
3.32, --.--,6:00,1/24/2021,,
2.6, --.--,5:45,1/24/2021,,
2.48, --.--,5:30,1/24/2021,,
2.77, --.--,5:15,1/24/2021,,
3.22, --.--,5:00,1/24/2021,,
3.73, --.--,4:45,1/24/2021,,
4.26, --.--,4:30,1/24/2021,,
4.76, --.--,4:15,1/24/2021,,
5.27, --.--,4:00,1/24/2021,,
5.7, --.--,3:45,1/24/2021,,
5.69, --.--,3:30,1/24/2021,,
5.04, --.--,3:15,1/24/2021,,
4.18, --.--,3:00,1/24/2021,,
3.25, --.--,2:45,1/24/2021,,
2.55, --.--,2:30,1/24/2021,,
2.49, --.--,2:15,1/24/2021,,
2.8, --.--,2:00,1/24/2021,,
3.28, --.--,1:45,1/24/2021,,
3.78, --.--,1:30,1/24/2021,,
4.28, --.--,1:15,1/24/2021,,
4.78, --.--,1:00,1/24/2021,,
5.27, --.--,0:45,1/24/2021,,
5.71, --.--,0:30,1/24/2021,,
5.65, --.--,0:15,1/24/2021,,
4.96, --.--,0:00,1/24/2021,,
4.1, --.--,23:45,1/23/2021,,
3.19, --.--,23:30,1/23/2021,,
2.53, --.--,23:15,1/23/2021,,
2.53, --.--,23:00,1/23/2021,,
2.86, --.--,22:45,1/23/2021,,
3.33, --.--,22:30,1/23/2021,,
3.85, --.--,22:15,1/23/2021,,
4.4, --.--,22:00,1/23/2021,,
4.94, --.--,21:45,1/23/2021,,
5.44, --.--,21:30,1/23/2021,,
5.81, --.--,21:15,1/23/2021,,
5.4, --.--,21:00,1/23/2021,,
4.55, --.--,20:45,1/23/2021,,
3.48, --.--,20:30,1/23/2021,,
2.58, --.--,20:15,1/23/2021,,
2.51, --.--,20:00,1/23/2021,,
2.93, --.--,19:45,1/23/2021,,
3.54, --.--,19:30,1/23/2021,,
4.18, --.--,19:15,1/23/2021,,
4.8, --.--,19:00,1/23/2021,,
5.43, --.--,18:45,1/23/2021,,
5.84, --.--,18:30,1/23/2021,,
4.97, --.--,18:15,1/23/2021,,
3.41, --.--,18:00,1/23/2021,,
2.47, --.--,17:45,1/23/2021,,
2.85, --.--,17:30,1/23/2021,,
3.65, --.--,17:15,1/23/2021,,
4.46, --.--,17:00,1/23/2021,,
5.23, --.--,16:45,1/23/2021,,
5.85, --.--,16:30,1/23/2021,,
5.03, --.--,16:15,1/23/2021,,
3.45, --.--,16:00,1/23/2021,,
2.47, --.--,15:45,1/23/2021,,
2.84, --.--,15:30,1/23/2021,,
3.61, --.--,15:15,1/23/2021,,
4.42, --.--,15:00,1/23/2021,,
5.18, --.--,14:45,1/23/2021,,
5.84, --.--,14:30,1/23/2021,,
5.21, --.--,14:15,1/23/2021,,
3.7, --.--,14:00,1/23/2021,,
2.49, --.--,13:45,1/23/2021,,
2.77, --.--,13:30,1/23/2021,,
3.54, --.--,13:15,1/23/2021,,
4.39, --.--,13:00,1/23/2021,,
5.17, --.--,12:45,1/23/2021,,
5.87, --.--,12:30,1/23/2021,,
5.03, --.--,12:15,1/23/2021,,
3.3, --.--,12:00,1/23/2021,,
2.47, --.--,11:45,1/23/2021,,
2.99, --.--,11:30,1/23/2021,,
3.81, --.--,11:15,1/23/2021,,
4.66, --.--,11:00,1/23/2021,,
5.46, --.--,10:45,1/23/2021,,
5.77, --.--,10:30,1/23/2021,,
4.37, --.--,10:15,1/23/2021,,
2.71, --.--,10:00,1/23/2021,,
2.62, --.--,9:45,1/23/2021,,
3.38, --.--,9:30,1/23/2021,,
4.24, --.--,9:15,1/23/2021,,
5.09, --.--,9:00,1/23/2021,,
5.83, --.--,8:45,1/23/2021,,
5.15, --.--,8:30,1/23/2021,,
3.44, --.--,8:15,1/23/2021,,
2.47, --.--,8:00,1/23/2021,,
2.91, --.--,7:45,1/23/2021,,
3.73, --.--,7:30,1/23/2021,,
4.52, --.--,7:15,1/23/2021,,
5.29, --.--,7:00,1/23/2021,,
5.85, --.--,6:45,1/23/2021,,
4.81, --.--,6:30,1/23/2021,,
3.31, --.--,6:15,1/23/2021,,
2.45, --.--,6:00,1/23/2021,,
2.79, --.--,5:45,1/23/2021,,
3.45, --.--,5:30,1/23/2021,,
4.16, --.--,5:15,1/23/2021,,
4.88, --.--,5:00,1/23/2021,,
5.57, --.--,4:45,1/23/2021,,
5.69, --.--,4:30,1/23/2021,,
4.67, --.--,4:15,1/23/2021,,
3.24, --.--,4:00,1/23/2021,,
2.45, --.--,3:45,1/23/2021,,
2.75, --.--,3:30,1/23/2021,,
3.4, --.--,3:15,1/23/2021,,
4.12, --.--,3:00,1/23/2021,,
4.83, --.--,2:45,1/23/2021,,
5.49, --.--,2:30,1/23/2021,,
5.78, --.--,2:15,1/23/2021,,
4.8, --.--,2:00,1/23/2021,,
3.44, --.--,1:45,1/23/2021,,
2.49, --.--,1:30,1/23/2021,,
2.73, --.--,1:15,1/23/2021,,
3.34, --.--,1:00,1/23/2021,,
4.08, --.--,0:45,1/23/2021,,
4.83, --.--,0:30,1/23/2021,,
5.5, --.--,0:15,1/23/2021,,
5.75, --.--,0:00,1/23/2021,,
4.74, --.--,23:45,1/22/2021,,
3.35, --.--,23:30,1/22/2021,,
2.46, --.--,23:15,1/22/2021,,
2.75, --.--,23:00,1/22/2021,,
3.43, --.--,22:45,1/22/2021,,
4.2, --.--,22:30,1/22/2021,,
4.93, --.--,22:15,1/22/2021,,
5.64, --.--,22:00,1/22/2021,,
5.58, --.--,21:45,1/22/2021,,
4.42, --.--,21:30,1/22/2021,,
3.03, --.--,21:15,1/22/2021,,
2.45, --.--,21:00,1/22/2021,,
2.91, --.--,20:45,1/22/2021,,
3.61, --.--,20:30,1/22/2021,,
4.36, --.--,20:15,1/22/2021,,
5.09, --.--,20:00,1/22/2021,,
5.73, --.--,19:45,1/22/2021,,
5.48, --.--,19:30,1/22/2021,,
4.17, --.--,19:15,1/22/2021,,
2.83, --.--,19:00,1/22/2021,,
2.52, --.--,18:45,1/22/2021,,
3.11, --.--,18:30,1/22/2021,,
3.93, --.--,18:15,1/22/2021,,
4.79, --.--,18:00,1/22/2021,,
5.6, --.--,17:45,1/22/2021,,
5.57, --.--,17:30,1/22/2021,,
3.98, --.--,17:15,1/22/2021,,
2.51, --.--,17:00,1/22/2021,,
2.77, --.--,16:45,1/22/2021,,
3.54, --.--,16:30,1/22/2021,,
4.43, --.--,16:15,1/22/2021,,
5.27, --.--,16:00,1/22/2021,,
5.86, --.--,15:45,1/22/2021,,
4.77, --.--,15:30,1/22/2021,,
2.96, --.--,15:15,1/22/2021,,
2.53, --.--,15:00,1/22/2021,,
3.17, --.--,14:45,1/22/2021,,
4.01, --.--,14:30,1/22/2021,,
4.87, --.--,14:15,1/22/2021,,
5.68, --.--,14:00,1/22/2021,,
5.46, --.--,13:45,1/22/2021,,
3.87, --.--,13:30,1/22/2021,,
2.5, --.--,13:15,1/22/2021,,
2.77, --.--,13:00,1/22/2021,,
3.55, --.--,12:45,1/22/2021,,
4.39, --.--,12:30,1/22/2021,,
5.21, --.--,12:15,1/22/2021,,
5.85, --.--,12:00,1/22/2021,,
4.98, --.--,11:45,1/22/2021,,
3.33, --.--,11:30,1/22/2021,,
2.49, --.--,11:15,1/22/2021,,
2.93, --.--,11:00,1/22/2021,,
3.74, --.--,10:45,1/22/2021,,
4.56, --.--,10:30,1/22/2021,,
5.37, --.--,10:15,1/22/2021,,
5.81, --.--,10:00,1/22/2021,,
4.66, --.--,9:45,1/22/2021,,
3, --.--,9:30,1/22/2021,,
2.5, --.--,9:15,1/22/2021,,
3.07, --.--,9:00,1/22/2021,,
3.82, --.--,8:45,1/22/2021,,
4.61, --.--,8:30,1/22/2021,,
5.36, --.--,8:15,1/22/2021,,
5.82, --.--,8:00,1/22/2021,,
4.81, --.--,7:45,1/22/2021,,
3.34, --.--,7:30,1/22/2021,,
2.45, --.--,7:15,1/22/2021,,
2.77, --.--,7:00,1/22/2021,,
3.37, --.--,6:45,1/22/2021,,
4.1, --.--,6:30,1/22/2021,,
4.75, --.--,6:15,1/22/2021,,
5.38, --.--,6:00,1/22/2021,,
5.78, --.--,5:45,1/22/2021,,
5.29, --.--,5:30,1/22/2021,,
4.35, --.--,5:15,1/22/2021,,
3.21, --.--,5:00,1/22/2021,,
2.5, --.--,4:45,1/22/2021,,
2.59, --.--,4:30,1/22/2021,,
3.08, --.--,4:15,1/22/2021,,
3.61, --.--,4:00,1/22/2021,,
4.24, --.--,3:45,1/22/2021,,
4.8, --.--,3:30,1/22/2021,,
5.38, --.--,3:15,1/22/2021,,
5.77, --.--,3:00,1/22/2021,,
5.32, --.--,2:45,1/22/2021,,
4.35, --.--,2:30,1/22/2021,,
3.28, --.--,2:15,1/22/2021,,
2.5, --.--,2:00,1/22/2021,,
2.58, --.--,1:45,1/22/2021,,
3.01, --.--,1:30,1/22/2021,,
3.61, --.--,1:15,1/22/2021,,
