ID:,DF692435CB1C3125,,,,
Temperature Unit of Measure is Celsius,,,,,
Date format is MM/DD/YYYY,,,,,
Start Time and Date,,10:00,1/20/2021,,
Stop Time and Date,,16:45,2/3/2021,,
,,,,,
Minimum Temperature,,,,,
P1,2.31,13:57,1/27/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Maximum Temperature,,,,,
P1,6.1,14:08,1/29/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Alarm Event Data,,,,,
Probe,Temp,Time Out,Date Out,Time In,Date In
,,,,,
Temperature Data,,,,,
P1,P2,Time,Date,,
4.77, --.--,6:30,2/2/2021,,
2.82, --.--,6:15,2/2/2021,,
2.93, --.--,6:00,2/2/2021,,
4.07, --.--,5:45,2/2/2021,,
5.19, --.--,5:30,2/2/2021,,
5.9, --.--,5:15,2/2/2021,,
4.24, --.--,5:00,2/2/2021,,
2.52, --.--,4:45,2/2/2021,,
3.27, --.--,4:30,2/2/2021,,
4.43, --.--,4:15,2/2/2021,,
5.48, --.--,4:00,2/2/2021,,
5.56, --.--,3:45,2/2/2021,,
3.59, --.--,3:30,2/2/2021,,
2.61, --.--,3:15,2/2/2021,,
3.68, --.--,3:00,2/2/2021,,
4.81, --.--,2:45,2/2/2021,,
5.82, --.--,2:30,2/2/2021,,
4.92, --.--,2:15,2/2/2021,,
2.83, --.--,2:00,2/2/2021,,
2.93, --.--,1:45,2/2/2021,,
4.08, --.--,1:30,2/2/2021,,
5.21, --.--,1:15,2/2/2021,,
5.87, --.--,1:00,2/2/2021,,
4.1, --.--,0:45,2/2/2021,,
2.54, --.--,0:30,2/2/2021,,
3.41, --.--,0:15,2/2/2021,,
4.61, --.--,0:00,2/2/2021,,
5.67, --.--,23:45,2/1/2021,,
5.23, --.--,23:30,2/1/2021,,
3.03, --.--,23:15,2/1/2021,,
2.85, --.--,23:00,2/1/2021,,
4.03, --.--,22:45,2/1/2021,,
5.22, --.--,22:30,2/1/2021,,
5.89, --.--,22:15,2/1/2021,,
3.92, --.--,22:00,2/1/2021,,
2.6, --.--,21:45,2/1/2021,,
3.61, --.--,21:30,2/1/2021,,
4.81, --.--,21:15,2/1/2021,,
5.89, --.--,21:00,2/1/2021,,
4.68, --.--,20:45,2/1/2021,,
2.62, --.--,20:30,2/1/2021,,
3.31, --.--,20:15,2/1/2021,,
4.59, --.--,20:00,2/1/2021,,
5.72, --.--,19:45,2/1/2021,,
5.03, --.--,19:30,2/1/2021,,
2.66, --.--,19:15,2/1/2021,,
3.31, --.--,19:00,2/1/2021,,
4.66, --.--,18:45,2/1/2021,,
5.85, --.--,18:30,2/1/2021,,
4.59, --.--,18:15,2/1/2021,,
2.65, --.--,18:00,2/1/2021,,
3.98, --.--,17:45,2/1/2021,,
5.39, --.--,17:30,2/1/2021,,
5.58, --.--,17:15,2/1/2021,,
2.68, --.--,17:00,2/1/2021,,
3.52, --.--,16:45,2/1/2021,,
5.01, --.--,16:30,2/1/2021,,
6.06, --.--,16:15,2/1/2021,,
3.47, --.--,16:00,2/1/2021,,
3.06, --.--,15:45,2/1/2021,,
4.53, --.--,15:30,2/1/2021,,
5.81, --.--,15:15,2/1/2021,,
4.57, --.--,15:00,2/1/2021,,
2.66, --.--,14:45,2/1/2021,,
3.99, --.--,14:30,2/1/2021,,
5.37, --.--,14:15,2/1/2021,,
5.69, --.--,14:00,2/1/2021,,
2.78, --.--,13:45,2/1/2021,,
